Hour beginning,Current 2012-10-12 13:00,Previous 2012-10-12 12:00,Delta
0,39395,39395,0
1,38450,38450,0
2,38927,38927,0
3,39351,39351,0
4,39568,39568,0
5,38872,38872,0
6,42065,42065,0
7,43288,43288,0
8,43927,43927,0
9,45125,45125,0
10,46552,46552,0
11,46715,46715,0
12,47255,47255,0
13,49505,49505,0
14,52162,50690,1472
15,52321,51118,1203
16,52597,51483,1114
17,52123,50727,1397
18,51000,50024,976
19,50299,49502,797
20,49257,48573,684
21,47785,47047,738
22,44512,44221,290
23,41741,41521,220
