Name,tsvaldtm,tsvalue
Generation Resources,2012-10-04 16:25:51-05:00,1461.0
Load Resources (excludes Controllable Load Resources),2012-10-04 16:15:31-05:00,1301.0
Controllable Load Resources,2012-10-04 00:01:12-05:00,0.0
On-Line Generation Resources With Energy Offer Curves,2012-10-04 16:05:31-05:00,19.0
On-Line Generation Resources with Output Schedule,2012-10-04 00:01:12-05:00,0.0
Off-Line Generation Resources,2012-10-04 16:05:31-05:00,932.0
Undeployed Load Resources,2012-10-04 00:01:12-05:00,0.0
Undeployed Reg-Up,2012-10-04 16:25:51-05:00,428.0
Undeployed Reg-Down,2012-10-04 16:25:51-05:00,375.0
Capacity with Energy Offer Curve Available to Increase SCED Base Points,2012-10-04 16:25:51-05:00,2094.0
Capacity without Energy Offer Curve Available to Increase SCED Base Points,2012-10-04 16:25:51-05:00,56.0
Capacity with Energy Offer Curve Available to Decrease SCED Base Points,2012-10-04 16:25:51-05:00,-20173.0
Capacity without Energy Offer Curve Available to Decrease SCED Base Points,2012-10-04 16:25:51-05:00,-1500.0
ERCOT-Wide Physical Responsive Capability,2012-10-04 16:25:51-05:00,3308.0
